8,6,9,10,5,1,4.76,15.46,5.6,5.549,8,19.527
7,5,3,5,3,1,4.244,9.055,3.6,1.269,9.5,16.376
2,1,1,1,1,1,4.087,16.186,1.1,2.608,14,18.433
5,3,4,5,3,1,4.355,7.55,1.8,1.808,0,14.648
7,2,7,7,7,1,4.306,9.644,2.3,0,10,18.721
10,6,8,10,6,1,4.508,11.916,1.3,0,11.1,20.002
5,5,5,7,5,1,3.938,8.544,2.8,0,13.8,23.749
2,2,1,3,3,1,4.043,7.211,0,0,5.9,25.429
5,2,6,5,5,1,4.238,7.681,5.3,1.724,14,28.253
7,1,4,4,4,1,4.314,8.832,1.3,1.269,14.7,19.278
5,2,4,4,3,1,4.313,8.775,0,1.298,8,10.716
7,6,4,7,5,1,4.689,8.888,3.8,1.309,8,13.375
5,2,7,9,3,1,4.099,8.66,0,1.405,5.5,23.707
6,9,5,7,4,1,4.798,9.695,3.2,7.441,10.9,15.192
3,3,3,2,1,1,4.06,10.1,1,4.081,13,24.717
6,4,8,5,5,1,4.334,13.82,2.1,1.613,11.6,24.052
5,3,2,3,2,1,4.132,7.55,3.6,0,9,28.744
4,3,3,4,1,1,4.068,6.928,2.1,0,4.3,15.375
2,2,1,4,2,1,4.978,6.403,5.2,7.735,12.7,12.74
9,8,7,7,8,1,4.329,13.379,3.5,0.568,9.9,13.078
7,2,6,5,3,1,4.682,9.165,3.7,5.87,8.6,11.79
8,4,5,3,4,1,4.542,9.487,0,4.462,6.7,10.978
8,9,10,5,5,1,4.42,16.793,4.1,2.193,8.8,16.86
5,1,3,3,2,1,4.185,7.746,3.4,1.708,5.3,19.723
6,1,5,4,1,1,4.082,7.348,0,1.954,11.2,10.598
5,2,5,6,5,1,4.609,7.937,0,0,8.2,12.328
1,1,1,2,2,1,5.118,5.831,0,0,3.2,15.483
4,6,3,7,5,1,4.614,10.344,4.6,0.917,7.4,18.043
1,1,1,1,3,1,4.512,6.245,0,2.795,8.2,12.142
5,2,4,4,5,1,3.888,7.746,5.2,1.709,7.1,11.729
9,7,8,9,8,1,4.435,12.329,2,0.68,11.9,24.045
9,4,6,6,5,1,4.28,11.045,5.7,3.331,6.4,8.481
